Nom,Type,SIREN,INSEE,SISPEA,UGE,service,Communes,Pop,Pop_service,Mode,Statut,operateur,Date,Statut,D102.0,P103.2B,Verif_P103.2B,CalculAuto_P103.2B,P104.3,Verif_P104.3,CalculAuto_P104.3,P105.3,Verif_P105.3,CalculAuto_P105.3,P106.3,Verif_P106.3,CalculAuto_P106.3,P107.2,Verif_P107.2,CalculAuto_P107.2
Malijai,Commune,210401089,04108,50863,0040112,eau potable,1,2021,2021,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,74",117,Sans anomalie apparente,1,55.9,Sans anomalie apparente,1,12.4,Sans anomalie apparente,1,10,Sans anomalie apparente,1,1,Sans anomalie apparente,1
Mallefougasse-Augès,Commune,210401097,04109,50867,0040020,eau potable,1,321,160,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,23",82,Sans anomalie apparente,1,76.7,Sans anomalie apparente,1,2,Sans anomalie apparente,1,1.8,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Mallemoisson,Commune,210401105,04110,50868,0040113,eau potable,1,1050,1050,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,77",113,Sans anomalie apparente,1,56.3,Sans anomalie apparente,1,5.3,Sans anomalie apparente,1,5.2,Sans anomalie apparente,1,0.33,Sans anomalie apparente,1
Mane,Commune,210401113,04111,50871,0040021,eau potable,1,1395,697,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,58",96,Sans anomalie apparente,1,62.5,Sans anomalie apparente,1,5.3,Sans anomalie apparente,1,4.9,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Marcoux,Commune,210401139,04113,50877,0040115,eau potable,1,527,527,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,46",115,Sans anomalie apparente,1,78.7,Sans anomalie apparente,1,1.5,Sans anomalie apparente,1,1.4,Sans anomalie apparente,1,2.12,Sans anomalie apparente,1
Melve,Commune,210401188,04118,50883,0040118,eau potable,1,118,118,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,53",103,Sans anomalie apparente,1,65.4,Sans anomalie apparente,0,1.3,Sans anomalie apparente,1,1.3,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Mirabeau,Commune,210401220,04122,50887,0040120,eau potable,1,504,504,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,82",103,Sans anomalie apparente,1,70.4,Sans anomalie apparente,1,2.7,Sans anomalie apparente,1,2.2,Sans anomalie apparente,1,1.37,Sans anomalie apparente,1
Mison,Commune,210401238,04123,50889,0040121,eau potable,1,1114,1114,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Montclar,Commune,210401261,04126,50893,0040122,eau potable,1,439,439,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,75",110,Sans anomalie apparente,1,65.9,Sans anomalie apparente,1,11.9,Sans anomalie apparente,1,5.9,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Montfort,Commune,210401279,04127,50896,0040123,eau potable,1,359,359,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,53",103,Sans anomalie apparente,1,75.1,Sans anomalie apparente,1,1,Sans anomalie apparente,1,0.8,Sans anomalie apparente,1,0.8,Sans anomalie apparente,1
Montjustin,Commune,210401295,04129,50900,0040198,eau potable,1,56,56,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,22",35,Sans anomalie apparente,1,82.4,Sans anomalie apparente,1,6,Sans anomalie apparente,1,2.5,Sans anomalie apparente,1,1,Sans anomalie apparente,1
Montlaux,Commune,210401303,04130,50902,0040024,eau potable,1,147,73,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,89",91,Sans anomalie apparente,1,63.9,Sans anomalie apparente,1,1.8,Sans anomalie apparente,1,1.7,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Montsalier,Commune,210401329,04132,50905,0040025,eau potable,1,119,59,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,46",83,Sans anomalie apparente,1,81.1,Sans anomalie apparente,1,1.7,Sans anomalie apparente,1,1.2,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Moriez,Commune,210401337,04133,50907,0040127,eau potable,1,224,224,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,05",71,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,1,1.99,Sans anomalie apparente,1
Moustiers-Sainte-Marie,Commune,210401352,04135,50910,0040129,eau potable,1,707,707,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Méailles,Commune,210401154,04115,50878,0040116,eau potable,1,112,112,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,37",114,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,0,0,Sans anomalie apparente,1
Méolans-Revel,Commune,210401618,04161,123931,0040147,eau potable,1,344,344,Délégation,Entreprise privée,,30/11/2027,Confirmé / publié,"2,36",75,Sans anomalie apparente,1,70.6,Sans anomalie apparente,1,3.5,Sans anomalie apparente,1,2.4,Sans anomalie apparente,1,0.17,Sans anomalie apparente,1
Mézel,Commune,210401212,04121,50886,0040077,eau potable,1,698,698,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,77",80,Sans anomalie apparente,1,40.8,Sans anomalie apparente,0,8.5,Sans anomalie apparente,1,7.6,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Niozelles,Commune,210401386,04138,50914,0040131,eau potable,1,285,285,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,94",95,Sans anomalie apparente,1,81.5,Sans anomalie apparente,0,0.9,Sans anomalie apparente,1,0.9,Sans anomalie apparente,1,0.14,Sans anomalie apparente,1
Ongles,Commune,210401410,04141,50919,0040023,eau potable,1,365,182,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,96",73,Sans anomalie apparente,1,77.3,Sans anomalie apparente,1,2.1,Sans anomalie apparente,1,1.6,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Oppedette,Commune,210401428,04142,50921,0040134,eau potable,1,57,28,Régie,Régie à autonomie financière,,,Confirmé / publié,"3,18",70,Sans anomalie apparente,1,95.8,Sans anomalie apparente,1,0.1,Sans anomalie apparente,1,0.1,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Peipin,Commune,210401451,04145,50926,0040137,eau potable,1,1525,1525,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,88",83,Sans anomalie apparente,1,50,Sans anomalie apparente,1,16.2,Sans anomalie apparente,1,16.1,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Peyroules,Commune,210401485,04148,209129,,eau potable,1,238,238,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,17",81,Sans anomalie apparente,1,50.4,Sans anomalie apparente,1,11.7,Sans anomalie apparente,1,7.2,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Peyruis,Commune,210401493,04149,50929,0040139,eau potable,1,2874,2874,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,36",110,Sans anomalie apparente,1,71.9,Sans anomalie apparente,1,5.6,Sans anomalie apparente,1,5.1,Sans anomalie apparente,1,1.08,Sans anomalie apparente,1
Pierrerue,Commune,210401519,04151,50935,0040141,eau potable,1,514,514,Délégation,Entreprise privée,,31/12/2024,Confirmé / publié,"2,55",90,Sans anomalie apparente,1,81.8,Sans anomalie apparente,0,0.9,Sans anomalie apparente,1,0.8,Sans anomalie apparente,1,0.04,Sans anomalie apparente,1
Piégut,Commune,210401501,04150,50932,0040140,eau potable,1,165,165,Régie,Régie à autonomie financière,,,Confirmé / publié,"0,39",81,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,0,0,Sans anomalie apparente,1
Pontis,Commune,210401543,04154,50938,0040142,eau potable,1,86,86,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,16",83,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,1,0,Sans anomalie apparente,1
Prads-Haute-Bléone,Commune,210401550,04155,50939,0040143,eau potable,1,193,193,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Redortiers,Commune,210401592,04159,50947,0040218,eau potable,1,70,35,Régie,Régie à autonomie financière,,,Confirmé / publié,2,81,Sans anomalie apparente,0,89.6,Sans anomalie apparente,1,0.2,Sans anomalie apparente,1,0.1,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Reillanne,Commune,210401600,04160,50949,0040146,eau potable,1,1623,1623,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,77",91,Sans anomalie apparente,1,76,Sans anomalie apparente,1,3.2,Sans anomalie apparente,1,2,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Revest-Saint-Martin,Commune,210401642,04164,50957,0040028,eau potable,1,61,30,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,98",100,Sans anomalie apparente,1,68.6,Sans anomalie apparente,1,1.7,Sans anomalie apparente,1,1.1,Sans anomalie apparente,1,0.09,Sans anomalie apparente,1
Revest-du-Bion,Commune,210401634,04163,50954,0040027,eau potable,1,582,291,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,14",90,Sans anomalie apparente,1,67.3,Sans anomalie apparente,0,2.6,Sans anomalie apparente,1,2.2,Sans anomalie apparente,1,0.14,Sans anomalie apparente,1
Rougon,Commune,210401717,04171,50966,0040152,eau potable,1,103,103,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,57",80,Sans anomalie apparente,1,67,Sans anomalie apparente,1,3.7,Sans anomalie apparente,1,2.5,Sans anomalie apparente,1,0,Sans anomalie apparente,1
SAINT-PAUL/UBAYE,Commune,210401931,04193,51004,0040168,eau potable,1,211,211,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,79",100,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,0,2.48,Sans anomalie apparente,1
SAINTE-CROIX-DE-VERDON,Commune,210401766,04176,50977,0040156,eau potable,1,122,122,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,29",38,Sans anomalie apparente,1,62.5,Sans anomalie apparente,1,6.1,Sans anomalie apparente,1,4.9,Sans anomalie apparente,1,0.72,Sans anomalie apparente,1
SEYNE LES ALPES,Commune,210402053,04205,51020,0040175,eau potable,1,1408,1408,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,4",100,Sans anomalie apparente,1,53.1,Sans anomalie apparente,1,27.5,Sans anomalie apparente,1,15.4,Sans anomalie apparente,1,0.43,Sans anomalie apparente,1
SI D'ALIMENTATION EN EAU POTABLE DE FORCALQUIER-MANE,Syndicat Intercommunal à Vocation Unique,250400207,,51102,0040022,eau potable,2,6405,3202,Régie,Régie à autonomie financière,,,En attente de vérification,,,,,,,,,,,,,,,,
SI d'Alimentation en Eau Potable de Nibles Chateaufort,Syndicat Intercommunal à Vocation Unique,250400330,,51082,0040011,eau potable,2,71,71,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,17",85,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,1,0,Sans anomalie apparente,1
SIAEMD CHATEAU-ARNOUX L'ESCALE,Syndicat Intercommunal à Vocation Unique,200045235,,50780,0040074,eau potable : CHATEAU ARNOUX,1,5328,5328,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,64",100,Sans anomalie apparente,1,72,Sans anomalie apparente,1,8.1,Sans anomalie apparente,1,7.7,Sans anomalie apparente,1,0.27,Sans anomalie apparente,1
SIAEMD CHATEAU-ARNOUX L'ESCALE,Syndicat Intercommunal à Vocation Unique,200045235,,50820,0040095,eau potable : ESCALE,1,1413,1413,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,64",103,Sans anomalie apparente,1,57.7,Sans anomalie apparente,1,7,Sans anomalie apparente,1,6.7,Sans anomalie apparente,1,0.06,Sans anomalie apparente,1
SIVU de l'eau et de l'assainissement de la Vallée du Jabron,Syndicat Intercommunal à Vocation Unique,250401049,,51085,0040219,eau potable,4,938,938,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,04",113,Sans anomalie apparente,1,54.3,Sans anomalie apparente,1,3,Sans anomalie apparente,1,2.6,Sans anomalie apparente,1,0,Sans anomalie apparente,1
SYNDICAT MIXTE  D'ADDUCTION D'EAU POTABLE DURANCE-PLATEAU D'ALBION,Syndicat Intercommunal à Vocation Unique,250400033,,51095,0040008,eau potable,22,20564,10275,Délégation,Entreprise privée,,31/12/2022,Confirmé / publié,,90,Sans anomalie apparente,1,99.2,Sans anomalie apparente,1,0.3,Sans anomalie apparente,1,0.3,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Saint-André-les-Alpes,Commune,210401733,04173,50970,0040153,eau potable,1,976,976,Délégation,Entreprise privée,,30/04/2027,Confirmé / publié,"2,43",85,Sans anomalie apparente,1,75.6,Sans anomalie apparente,1,16.3,Sans anomalie apparente,1,8,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Saint-Benoît,Commune,210401741,04174,50972,0040154,eau potable,1,141,141,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,1",70,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,1,0,Sans anomalie apparente,1
Saint-Geniez,Commune,210401790,04179,50982,0040047,eau potable,1,100,100,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,04",93,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,1,0,Sans anomalie apparente,1
Saint-Jacques,Commune,210401808,04180,50984,0040158,eau potable,1,57,57,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,28",71,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,1,,Sans anomalie apparente,1
Saint-Jeannet,Commune,210401816,04181,50986,0040159,eau potable,1,63,63,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,24",85,Sans anomalie apparente,1,82.9,Sans anomalie apparente,1,0.3,Sans anomalie apparente,1,0.2,Sans anomalie apparente,1,13.33,Sans anomalie apparente,1
Saint-Julien-d'Asse,Commune,210401824,04182,50989,0040160,eau potable,1,190,190,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,3",91,Sans anomalie apparente,1,84.8,Sans anomalie apparente,1,1.2,Sans anomalie apparente,1,1.1,Sans anomalie apparente,1,0.56,Sans anomalie apparente,1
Saint-Julien-du-Verdon,Commune,210401832,04183,50990,0040161,eau potable,1,155,155,Régie,Régie à autonomie financière,,,Confirmé / publié,"0,87",91,Sans anomalie apparente,1,,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,0,0,Sans anomalie apparente,1
Saint-Jurs,Commune,210401840,04184,50992,0040162,eau potable,1,142,142,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,06",15,Sans anomalie apparente,1,88.3,Sans anomalie apparente,1,0.9,Sans anomalie apparente,1,0.5,Sans anomalie apparente,1,2.32,Sans anomalie apparente,1
Saint-Lions,Commune,210401873,04187,50996,0040164,eau potable,1,50,50,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,66",95,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,18.3,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Saint-Maime,Commune,,04188,209141,,eau potable,1,845,845,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,74",30,Sans anomalie apparente,1,62.9,Sans anomalie apparente,1,4.4,Sans anomalie apparente,1,4.2,Sans anomalie apparente,0,0.06,Sans anomalie apparente,1
Saint-Martin-les-Eaux,Commune,210401907,04190,51000,0040167,eau potable,1,115,115,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,23",82,Sans anomalie apparente,1,80,Sans anomalie apparente,1,1.7,Sans anomalie apparente,1,1.1,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Saint-Michel-l'Observatoire,Commune,210401923,04192,51002,0040197,eau potable,1,1251,1251,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,71",113,Sans anomalie apparente,1,67.2,Sans anomalie apparente,1,5.3,Sans anomalie apparente,1,3.6,Sans anomalie apparente,1,0.31,Sans anomalie apparente,1
Saint-Pierre,Commune,210401949,04194,51005,0040169,eau potable,1,99,99,Régie,Régie à autonomie financière,,,Confirmé / publié,"3,89",90,Sans anomalie apparente,1,65.2,Sans anomalie apparente,1,6.4,Sans anomalie apparente,1,3.8,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Saint-Pons,Commune,210401956,04195,51007,0040170,eau potable,1,687,687,Délégation,Entreprise privée,,30/06/2021,Confirmé / publié,"2,06",75,Sans anomalie apparente,1,67.3,Sans anomalie apparente,1,4.1,Sans anomalie apparente,1,3.4,Sans anomalie apparente,1,0.55,Sans anomalie apparente,1
Saint-Vincent-sur-Jabron,Commune,210401998,04199,51010,0040201,eau potable,1,221,221,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,23",103,Sans anomalie apparente,1,65,Sans anomalie apparente,1,4.8,Sans anomalie apparente,1,2.7,Sans anomalie apparente,1,3.54,Sans anomalie apparente,1
Saint-Étienne-les-Orgues,Commune,210401782,04178,50980,0040031,eau potable,1,1286,643,Régie,Régie à autonomie financière,,,En cours de saisie,,,,,,,,,,,,,,,,
Sainte-Croix-à-Lauze,Commune,210401758,04175,50974,0040155,eau potable,1,84,84,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,63",72,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,1,1.63,Sans anomalie apparente,1
Sausses,Commune,210402020,04202,51014,0040172,eau potable,1,125,125,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,36",,Non vérifié,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,1
Selonnet,Commune,210402038,04203,51017,0040173,eau potable,1,453,453,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Senez,Commune,210402046,04204,51018,0040174,eau potable,1,169,169,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,13",91,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,0,0,Sans anomalie apparente,1
Sigonce,Commune,210402061,04206,51023,0040176,eau potable,1,430,430,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,05",101,Sans anomalie apparente,1,81.1,Sans anomalie apparente,0,1.9,Sans anomalie apparente,1,1.6,Sans anomalie apparente,1,0.26,Sans anomalie apparente,1
Sigoyer,Commune,210402079,04207,51025,0040177,eau potable,1,105,105,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,64",75,Sans anomalie apparente,1,70,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,0,Sans anomalie apparente,0
Simiane-la-Rotonde,Commune,210402087,04208,51027,0040033,eau potable,1,601,300,Régie,Régie à autonomie financière,,,Confirmé / publié,"3,61",85,Sans anomalie apparente,1,54.8,Sans anomalie apparente,1,1.8,Sans anomalie apparente,1,1.5,Sans anomalie apparente,1,0.22,Sans anomalie apparente,1
Sisteron,Commune,210402095,04209,51030,0040034,eau potable,1,7582,7582,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,66",99,Sans anomalie apparente,1,77.9,Sans anomalie apparente,1,3.5,Sans anomalie apparente,1,3.3,Sans anomalie apparente,1,0.82,Sans anomalie apparente,1
Soleilhas,Commune,210402103,04210,209138,,eau potable,1,122,122,Régie,Régie à autonomie financière,,,Confirmé / publié,"0,48",28,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,1,0,Sans anomalie apparente,1
Sourribes,Commune,210402111,04211,51034,0040179,eau potable,1,183,183,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,5",103,Sans anomalie apparente,1,69.1,Sans anomalie apparente,1,7.2,Sans anomalie apparente,1,6.8,Sans anomalie apparente,1,2.71,Sans anomalie apparente,1
Syndicat Intercommunal de Salignac-Entrepierres,Syndicat Intercommunal à Vocation Unique,250401213,,51083,0040015,eau potable,2,1055,1055,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,79",115,Sans anomalie apparente,1,60.1,Sans anomalie apparente,1,2.4,Sans anomalie apparente,1,2.3,Sans anomalie apparente,1,1.37,Sans anomalie apparente,1
Syndicat Mixte Eau potable et Assainissement de SAUMANE-l'HOSPITALET,Syndicat Intercommunal à Vocation Unique,250400025,,50845,0040018,eau potable : Hospitalet,1,93,46,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,8",95,Sans anomalie apparente,1,56.4,Sans anomalie apparente,1,1.9,Sans anomalie apparente,1,1.8,Sans anomalie apparente,1,2.22,Sans anomalie apparente,1
Syndicat Mixte Eau potable et Assainissement de SAUMANE-l'HOSPITALET,Syndicat Intercommunal à Vocation Unique,250400025,,51012,0040032,eau potable : Saumane,1,111,55,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,8",105,Sans anomalie apparente,1,62,Sans anomalie apparente,1,2.1,Sans anomalie apparente,1,2.1,Sans anomalie apparente,1,0.33,Sans anomalie apparente,1
Syndicat Mixte Eau potable et Assainissement de SAUMANE-l'HOSPITALET,Syndicat Intercommunal à Vocation Unique,250400025,,50952,0040148,eau potable : revest des brousses,1,282,282,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,8",15,Sans anomalie apparente,1,75.8,Sans anomalie apparente,1,1.2,Sans anomalie apparente,1,1.2,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Tartonne,Commune,210402145,04214,51036,0040180,eau potable,1,145,145,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,9",95,Sans anomalie apparente,1,63.1,Sans anomalie apparente,1,10,Sans anomalie apparente,1,9.3,Sans anomalie apparente,1,1.08,Sans anomalie apparente,1
Thoard,Commune,210402178,04217,51042,0040182,eau potable,1,753,753,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,47",73,Sans anomalie apparente,1,58.6,Sans anomalie apparente,1,5.8,Sans anomalie apparente,1,3.5,Sans anomalie apparente,1,0.09,Sans anomalie apparente,1
Thorame-Basse,Commune,210402186,04218,51044,0040183,eau potable,1,221,221,Régie,Régie à autonomie financière,,,Confirmé / publié,"0,92",75,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,0,0,Sans anomalie apparente,1
Thorame-Haute,Commune,210402194,04219,51045,0040184,eau potable,1,238,238,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,23",60,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,0,2.05,Sans anomalie apparente,1
Thèze,Commune,210402160,04216,51037,0040181,eau potable,1,233,233,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Turriers,Commune,210402228,04222,51048,0040186,eau potable,1,349,349,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,53",15,Sans anomalie apparente,1,73.6,Sans anomalie apparente,1,1.7,Sans anomalie apparente,1,1.5,Sans anomalie apparente,1,3.2,Sans anomalie apparente,1
Ubaye-Serre-Ponçon,Commune,200071959,04033,51087,0040010,eau potable,1,725,725,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Ubraye,Commune,210402244,04224,51050,0040187,eau potable,1,92,92,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,19",90,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,1,0,Sans anomalie apparente,1
Uvernet-Fours,Commune,210402269,04226,51052,0040188,eau potable,1,596,596,Délégation,Entreprise privée,,08/07/2023,Confirmé / publié,"1,51",75,Sans anomalie apparente,1,52.6,Sans anomalie apparente,1,8.2,Sans anomalie apparente,1,7.4,Sans anomalie apparente,1,0.15,Sans anomalie apparente,1
Vachères,Commune,210402277,04227,51054,0040037,eau potable,1,260,130,Délégation,Entreprise privée,,31/03/2018,Confirmé / publié,"2,41",89,Sans anomalie apparente,1,85,Sans anomalie apparente,1,0.6,Sans anomalie apparente,1,0.5,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Val d'Oronaye,Commune,200058618,04120,50852,0040107,eau potable,1,115,115,Régie,Régie à autonomie financière,,,Confirmé / publié,"0,75",85,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,1,0,Sans anomalie apparente,0
Val-de-Chalvagne,Commune,210400438,04043,50770,0040126,eau potable,1,85,85,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,57",91,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,0,0,Sans anomalie apparente,1
Valavoire,Commune,210402285,04228,51056,0040189,eau potable,1,43,43,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,42",103,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,1,0.54,Sans anomalie apparente,1
Valbelle,Commune,210402293,04229,51058,0040190,eau potable,1,265,265,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,43",81,Sans anomalie apparente,1,79.3,Sans anomalie apparente,0,1.6,Sans anomalie apparente,1,1.2,Sans anomalie apparente,1,1.53,Sans anomalie apparente,1
Valernes,Commune,210402319,04231,51065,0040039,eau potable,1,259,259,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,33",106,Sans anomalie apparente,1,52.2,Sans anomalie apparente,1,1.9,Sans anomalie apparente,1,1.5,Sans anomalie apparente,1,0.35,Sans anomalie apparente,1
Vaumeilh,Commune,210402335,04233,51067,0040191,eau potable,1,270,270,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,6",113,Sans anomalie apparente,1,62.5,Sans anomalie apparente,1,2.4,Sans anomalie apparente,1,2,Sans anomalie apparente,1,1.18,Sans anomalie apparente,1
Venterol,Commune,210402343,04234,51069,0040192,eau potable,1,256,256,Régie,Régie à autonomie financière,,,Confirmé / publié,"0,73",30,Sans anomalie apparente,1,83.1,Sans anomalie apparente,1,0.9,Sans anomalie apparente,1,0.5,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Verdaches,Commune,210402350,04235,51070,0040193,eau potable,1,64,64,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,1",92,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,1,0,Sans anomalie apparente,1
Vergons,Commune,210402368,04236,51073,0040092,eau potable,1,116,116,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,11",81,Sans anomalie apparente,1,,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,0,Sans anomalie apparente,0
Villars-Colmars,Commune,210402400,04240,51076,0040195,eau potable,1,256,256,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,4",90,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,0,4.72,Sans anomalie apparente,1
Villemus,Commune,210402418,04241,51077,0040196,eau potable,1,182,182,Régie,Régie à autonomie financière,,,Confirmé / publié,3,85,Sans anomalie apparente,1,66.1,Sans anomalie apparente,1,1.1,Sans anomalie apparente,1,0.8,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Volonne,Commune,210402442,04244,51081,0040050,eau potable,1,1709,1709,Régie,Régie à autonomie financière,,,En cours de saisie,,,,,,,,,,,,,,,,
ARGENTIERE-LA-BESSEE,Commune,210500062,05006,130354,0050102,eau potable,1,2399,2399,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Abriès,Commune,210500013,05001,130344,0050002,eau potable,1,321,321,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Aiguilles,Commune,210500039,05003,130347,0050003,eau potable,1,444,444,Régie,Régie à autonomie financière,,,En cours de saisie,,,,,,,,,,,,,,,,
Ancelle,Commune,210500047,05004,130351,0050004,eau potable,1,929,929,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Arvieux,Commune,210500070,05007,130356,0050005,eau potable,1,370,370,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
