Nom,Type,SIREN,INSEE,SISPEA,UGE,service,Communes,Pop,Pop_service,Mode,Statut_x,operateur,Date,Statut.1,D102.0,P103.2B,Verif_P103.2B,CalculAuto_P103.2B,P104.3,Verif_P104.3,CalculAuto_P104.3,P105.3,Verif_P105.3,CalculAuto_P105.3,P106.3,Verif_P106.3,CalculAuto_P106.3,P107.2,Verif_P107.2,CalculAuto_P107.2,Code Postal,Commune,Département,Région,Statut_y,Altitude Moyenne,Superficie,Population,geo_point_2d,geo_shape,ID Geofla,Code Commune,Code Canton,Code Arrondissement,Code Département,Code Région
Mourjou,Commune,211501366.0,15136,165711,0150011,eau potable,1,334.0,334.0,Régie,Régie à autonomie financière,,,Vérifié,,82.0,Sans anomalie apparente,1.0,85.8,Sans anomalie apparente,1.0,0.4,Sans anomalie apparente,1.0,0.4,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,15340,MOURJOU,CANTAL,AUVERGNE,Commune simple,502.0,3026.0,0.3,"44.6974161055, 2.31659060855","{""type"": ""Polygon"", ""coordinates"": [[[2.332220863207249, 44.66459363208022], [2.324130165836935, 44.669154087261646], [2.314476592084336, 44.680726741362434], [2.305790133259706, 44.678025668827395], [2.283421282344401, 44.68269978931218], [2.26534129956974, 44.680474503890615], [2.27076543720112, 44.69622999469405], [2.289927240299351, 44.71018354879879], [2.304704185251954, 44.72409735376633], [2.327404176799788, 44.73098099479952], [2.334351626905384, 44.733048703717095], [2.342346361719805, 44.72444430557396], [2.345886509649995, 44.711050443048165], [2.33915503110516, 44.69830695509285], [2.348170526736807, 44.69152700438054], [2.358714301464126, 44.68111795733603], [2.345586510090039, 44.66733840091262], [2.332220863207249, 44.66459363208022]]]}",7356,136,10,1,15,83
Murat,Commune,200071702.0,15138,165585,0150007,eau potable (CHASTEL-SUR-MURAT),1,2101.0,1050.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,35",81.0,Sans anomalie apparente,1.0,50.8,Sans anomalie apparente,1.0,6.3,Sans anomalie apparente,1.0,5.9,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,15300,MURAT,CANTAL,AUVERGNE,Chef-lieu canton,980.0,653.0,2.0,"45.1111408605, 2.86065494152","{""type"": ""Polygon"", ""coordinates"": [[[2.880304585523317, 45.10644272216394], [2.866847226156961, 45.10332108131767], [2.852884364820257, 45.09478575052022], [2.848267585705355, 45.095643945403346], [2.844488070223115, 45.10165340824821], [2.849486493408565, 45.11035814545984], [2.83520609354634, 45.11927896435454], [2.836404507662189, 45.12261222716192], [2.849067891078581, 45.12411575108549], [2.85947454778937, 45.117943568813516], [2.868167557348021, 45.120313241688166], [2.876224652601188, 45.11727010584955], [2.885302362920547, 45.11838730736431], [2.889559676384544, 45.113466400929816], [2.880304585523317, 45.10644272216394]]]}",3396,138,12,3,15,83
Murat,Commune,200071702.0,15138,165714,0150078,eau potable (MURAT (avant 2017)),1,2101.0,1050.0,Régie,Régie à autonomie financière,,,En cours de saisie,"1,35",81.0,Sans anomalie apparente,1.0,52.6,Sans anomalie apparente,1.0,16.5,Sans anomalie apparente,1.0,16.0,Sans anomalie apparente,1.0,1.48,Sans anomalie apparente,1.0,15300,MURAT,CANTAL,AUVERGNE,Chef-lieu canton,980.0,653.0,2.0,"45.1111408605, 2.86065494152","{""type"": ""Polygon"", ""coordinates"": [[[2.880304585523317, 45.10644272216394], [2.866847226156961, 45.10332108131767], [2.852884364820257, 45.09478575052022], [2.848267585705355, 45.095643945403346], [2.844488070223115, 45.10165340824821], [2.849486493408565, 45.11035814545984], [2.83520609354634, 45.11927896435454], [2.836404507662189, 45.12261222716192], [2.849067891078581, 45.12411575108549], [2.85947454778937, 45.117943568813516], [2.868167557348021, 45.120313241688166], [2.876224652601188, 45.11727010584955], [2.885302362920547, 45.11838730736431], [2.889559676384544, 45.113466400929816], [2.880304585523317, 45.10644272216394]]]}",3396,138,12,3,15,83
Narnhac,Commune,211501390.0,15139,165716,0150079,eau potable,1,74.0,74.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,56",10.0,Sans anomalie apparente,1.0,63.8,Sans anomalie apparente,1.0,3.3,Sans anomalie apparente,1.0,2.5,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,15230,NARNHAC,CANTAL,AUVERGNE,Commune simple,1001.0,1038.0,0.1,"44.9347231602, 2.76628642462","{""type"": ""Polygon"", ""coordinates"": [[[2.776095106448154, 44.90963921564348], [2.755915112445019, 44.93215069218528], [2.742087308882855, 44.931975411729674], [2.738254293313791, 44.941222184736716], [2.755310364540434, 44.96036680218304], [2.761236507657058, 44.94754945479852], [2.770171309172812, 44.945344381113024], [2.778538193417713, 44.94872872397231], [2.789627384811859, 44.92974361469659], [2.78653478167042, 44.9164214275017], [2.776095106448154, 44.90963921564348]]]}",182,139,13,3,15,83
Omps,Commune,211501440.0,15144,165724,0150082,eau potable,1,358.0,358.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,91",15.0,Sans anomalie apparente,1.0,61.1,Sans anomalie apparente,1.0,4.2,Sans anomalie apparente,1.0,4.2,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,15290,OMPS,CANTAL,AUVERGNE,Commune simple,628.0,1278.0,0.3,"44.880430829, 2.26818388104","{""type"": ""Polygon"", ""coordinates"": [[[2.259937795948452, 44.85838342822803], [2.244739043963202, 44.87309231293667], [2.243687587543312, 44.89944844606352], [2.252625201447536, 44.89991410660479], [2.257401120243656, 44.89417465141], [2.271567983081682, 44.89573608036589], [2.273694431380096, 44.898802310317244], [2.284608326601703, 44.88734822204976], [2.299401424610555, 44.878231641408796], [2.301508288006129, 44.87174419580529], [2.287299599841425, 44.86292026617676], [2.275093266547692, 44.87288944619604], [2.265732878446034, 44.871180252118776], [2.259937795948452, 44.85838342822803]]]}",8426,144,21,1,15,83
Pailherols,Commune,211501465.0,15146,165727,0150084,eau potable,1,142.0,142.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,13",85.0,Sans anomalie apparente,1.0,65.7,Sans anomalie apparente,1.0,2.2,Sans anomalie apparente,1.0,1.9,Sans anomalie apparente,1.0,4.24,Sans anomalie apparente,1.0,15800,PAILHEROLS,CANTAL,AUVERGNE,Commune simple,1106.0,2590.0,0.2,"44.9569851027, 2.704502835","{""type"": ""Polygon"", ""coordinates"": [[[2.706372274721832, 44.907090903199624], [2.689464163776373, 44.90376763729457], [2.681867929715217, 44.90734757447232], [2.685850711720069, 44.91332828057332], [2.684193949710315, 44.93303250200891], [2.680254526265802, 44.93479495924521], [2.676822395716063, 44.947471203766334], [2.68158939389834, 44.95643462995485], [2.686096396005115, 44.96227284507701], [2.684261450779554, 44.96832716074665], [2.708997667937054, 44.989616472679955], [2.710090845580383, 44.9965882590511], [2.731152749135298, 45.02367961509454], [2.739849176987857, 45.03466698427215], [2.741859448168404, 45.0310611082878], [2.737168996078548, 45.021316962734105], [2.738825434820819, 45.01457698466616], [2.719565717153187, 44.994928829047666], [2.725584272114027, 44.97861099989534], [2.725139919578914, 44.968336643764374], [2.713691373965215, 44.9624823601376], [2.712321437069551, 44.945236764878125], [2.716765564476912, 44.92883453826531], [2.706372274721832, 44.907090903199624]]]}",233,146,23,1,15,83
Paulhenc,Commune,211501499.0,15149,165731,0150086,eau potable,1,249.0,249.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,41",45.0,Sans anomalie apparente,1.0,76.7,Sans anomalie apparente,1.0,1.6,Sans anomalie apparente,1.0,1.3,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,15230,PAULHENC,CANTAL,AUVERGNE,Commune simple,826.0,2370.0,0.3,"44.8849681536, 2.81626761404","{""type"": ""Polygon"", ""coordinates"": [[[2.78131491571171, 44.85769058743515], [2.771793315824048, 44.85831066455157], [2.768905328274867, 44.864913194241474], [2.771432607787719, 44.87851361884847], [2.778589796222874, 44.88749557352404], [2.791591209064053, 44.892418624408926], [2.79777636211213, 44.901838716716945], [2.807566087754138, 44.90267542392192], [2.831143820586784, 44.90632416816954], [2.855103767605392, 44.90543063482717], [2.860245293825351, 44.896109597441814], [2.854930826745023, 44.874314423705506], [2.851404364376573, 44.87195086450357], [2.813044814432208, 44.87047036671224], [2.804778167103097, 44.87378741009433], [2.788979505769707, 44.866123604979464], [2.78131491571171, 44.85769058743515]]]}",9071,149,13,3,15,83
Pierrefort,Commune,211501523.0,15152,165737,0150088,eau potable,1,953.0,953.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,35",10.0,Sans anomalie apparente,1.0,32.5,Sans anomalie apparente,1.0,19.2,Sans anomalie apparente,1.0,18.8,Sans anomalie apparente,1.0,0.8,Sans anomalie apparente,1.0,15230,PIERREFORT,CANTAL,AUVERGNE,Chef-lieu canton,985.0,2459.0,0.9,"44.9288418231, 2.83819601697","{""type"": ""Polygon"", ""coordinates"": [[[2.860245293825351, 44.896109597441814], [2.855103767605392, 44.90543063482717], [2.831143820586784, 44.90632416816954], [2.807566087754138, 44.90267542392192], [2.805378008955723, 44.91625794654432], [2.81219049894466, 44.925264228611816], [2.81040865906538, 44.94249409356516], [2.818522612180233, 44.946298160123824], [2.817346513181481, 44.95316601188452], [2.825414618471107, 44.95605113594409], [2.847748024144905, 44.959622390520266], [2.857213361092407, 44.952657118486144], [2.866194429284683, 44.951065640759815], [2.862545257049149, 44.94487569934953], [2.867039689459797, 44.92612668472022], [2.863729115339388, 44.916813000723884], [2.868194726192366, 44.90381730056162], [2.860245293825351, 44.896109597441814]]]}",11564,152,13,3,15,83
Prunet,Commune,211501564.0,15156,165745,0150091,eau potable,1,651.0,651.0,Régie,Régie à autonomie financière,,31/12/2018,Confirmé / publié,"1,96",107.0,Sans anomalie apparente,1.0,94.6,Sans anomalie apparente,1.0,0.2,Sans anomalie apparente,1.0,0.2,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,15130,PRUNET,CANTAL,AUVERGNE,Commune simple,741.0,2730.0,0.5,"44.8227813134, 2.47531798605","{""type"": ""Polygon"", ""coordinates"": [[[2.507793512356331, 44.79245825875464], [2.499083132498343, 44.79941486346348], [2.490682497886436, 44.797071738881904], [2.479308109847494, 44.80188074433812], [2.474966481631442, 44.80095993686322], [2.465459429402381, 44.8086664592104], [2.455903479407694, 44.80939429133942], [2.446708608140664, 44.81710077870276], [2.438417480263591, 44.80881195094821], [2.428956570952589, 44.81010516233295], [2.412206296976478, 44.804480536820414], [2.42147783167698, 44.81170503950432], [2.421427368965361, 44.81783614366483], [2.436847802953951, 44.83798430158675], [2.455420523282766, 44.83966161376723], [2.469254479171721, 44.836712459217715], [2.487582569240827, 44.84029195688709], [2.494263364879945, 44.86006733008392], [2.503569729160799, 44.8584166674485], [2.509113524307269, 44.85270607087886], [2.505608347311507, 44.84253455767438], [2.50809306488431, 44.83626116724019], [2.501819701879683, 44.82737377334427], [2.513370678808043, 44.81715212264572], [2.514459371034833, 44.80387688969325], [2.516124161263062, 44.79852716442214], [2.507793512356331, 44.79245825875464]]]}",9320,156,26,1,15,83
Roannes-Saint-Mary,Commune,211501630.0,15163,165754,0150096,eau potable,1,1081.0,1081.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,44",110.0,Sans anomalie apparente,1.0,88.2,Sans anomalie apparente,1.0,0.9,Sans anomalie apparente,1.0,0.7,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,15220,ROANNES-SAINT-MARY,CANTAL,AUVERGNE,Commune simple,675.0,3682.0,1.0,"44.8450017276, 2.39860201238","{""type"": ""Polygon"", ""coordinates"": [[[2.408478581786906, 44.80178669342307], [2.395867217864299, 44.80561721394617], [2.380999632442158, 44.8269636032815], [2.367149250584595, 44.82666938465653], [2.365007050695572, 44.83262651257628], [2.369060653441588, 44.8344683575697], [2.367379617816697, 44.83767306757567], [2.353879367759933, 44.84081858007269], [2.353751433989333, 44.844239210250315], [2.359766693212955, 44.860561660010234], [2.370255937097181, 44.865555661154644], [2.365339541870641, 44.874882499255634], [2.376228608618734, 44.8795090730959], [2.382864350114247, 44.874900240295226], [2.406544824803961, 44.87715418145613], [2.426765138470814, 44.86748244168757], [2.440438951450661, 44.867471160508245], [2.441677644244352, 44.85749240349835], [2.426263766131636, 44.84468275172554], [2.436847802953951, 44.83798430158675], [2.421427368965361, 44.81783614366483], [2.42147783167698, 44.81170503950432], [2.412206296976478, 44.804480536820414], [2.408478581786906, 44.80178669342307]]]}",7375,163,21,1,15,83
Roffiac,Commune,211501648.0,15164,165756,0150097,eau potable,1,623.0,623.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,27",83.0,Sans anomalie apparente,1.0,68.0,Sans anomalie apparente,0.0,2.2,Sans anomalie apparente,0.0,2.2,Sans anomalie apparente,0.0,0.21,Sans anomalie apparente,1.0,15100,ROFFIAC,CANTAL,AUVERGNE,Commune simple,947.0,2152.0,0.6,"45.04821174, 3.01633980652","{""type"": ""Polygon"", ""coordinates"": [[[3.019144951857998, 45.02266098497807], [3.005841441984389, 45.03675345526134], [2.986907308637933, 45.03778828021234], [2.975411851398599, 45.04426010172767], [2.966065558041898, 45.042168752448475], [2.972232066382326, 45.05365939093939], [2.996531370813556, 45.06678146916931], [2.995959387293027, 45.06998684246389], [3.008615101935362, 45.071355178089235], [3.037158613855726, 45.05884289167548], [3.051372839750559, 45.057396621717004], [3.064419792280599, 45.0357445545019], [3.062892304457147, 45.032486040046], [3.058054081947615, 45.032146521970766], [3.045004090758119, 45.03624030032335], [3.03561906960504, 45.0351362257684], [3.023944601214742, 45.024334763897784], [3.019144951857998, 45.02266098497807]]]}",2705,164,19,3,15,83
Rézentières,Commune,211501614.0,15161,165751,0150095,eau potable,1,118.0,118.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"0,91",95.0,Sans anomalie apparente,1.0,80.5,Sans anomalie apparente,1.0,2.0,Sans anomalie apparente,1.0,1.8,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,15170,REZENTIERES,CANTAL,AUVERGNE,Commune simple,1032.0,1335.0,0.1,"45.1342001841, 3.10566449995","{""type"": ""Polygon"", ""coordinates"": [[[3.093091964723522, 45.10376690593435], [3.087124901253502, 45.10923715880027], [3.093452262350423, 45.12916696470338], [3.081320032832485, 45.13959417175928], [3.082208006810016, 45.14649064879243], [3.100784533979319, 45.146421391678395], [3.10515979587911, 45.15904111191555], [3.117334642186117, 45.162954775340694], [3.132254105079241, 45.142651830564816], [3.120498151342432, 45.13674046026992], [3.113190354116606, 45.127672017110335], [3.115968023916796, 45.11773770317739], [3.122506454010487, 45.11275148465649], [3.104151510139556, 45.109708772241675], [3.093091964723522, 45.10376690593435]]]}",12720,161,19,3,15,83
Saignes,Commune,211501697.0,15169,165765,0150113,eau potable,1,881.0,881.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,8",90.0,Sans anomalie apparente,1.0,50.7,Sans anomalie apparente,1.0,9.1,Sans anomalie apparente,1.0,7.3,Sans anomalie apparente,1.0,3.6,Sans anomalie apparente,1.0,15240,SAIGNES,CANTAL,AUVERGNE,Chef-lieu canton,532.0,687.0,0.9,"45.3309843638, 2.48182368898","{""type"": ""Polygon"", ""coordinates"": [[[2.473447049852887, 45.318308107792696], [2.463180677539662, 45.322770652910464], [2.467700953528745, 45.33194094604651], [2.466387531745939, 45.33844505125213], [2.474799576032903, 45.346778110401836], [2.483519126675526, 45.345639058559534], [2.493658690312748, 45.33995841896915], [2.502399598854989, 45.324833838476735], [2.491312040293209, 45.318696887536], [2.473447049852887, 45.318308107792696]]]}",26955,169,17,2,15,83
Saint-Amandin,Commune,211501705.0,15170,165766,0150114,eau potable,1,228.0,228.0,Régie,Régie à autonomie financière,,,Vérifié,,116.0,Sans anomalie apparente,1.0,80.4,Sans anomalie apparente,1.0,0.4,Sans anomalie apparente,1.0,0.4,Sans anomalie apparente,1.0,0.85,Sans anomalie apparente,1.0,15190,SAINT-AMANDIN,CANTAL,AUVERGNE,Commune simple,882.0,3195.0,0.2,"45.3284028896, 2.70800428863","{""type"": ""Polygon"", ""coordinates"": [[[2.73957263129131, 45.30706971842001], [2.734872462325542, 45.30797713414907], [2.723288467796421, 45.30229429756988], [2.694852327448828, 45.30379613888069], [2.688759843130766, 45.31173930373428], [2.674507386133879, 45.3135446753172], [2.667753476477981, 45.318297206148536], [2.663569071098188, 45.351799531214034], [2.663706827499085, 45.35225017235135], [2.673557619596162, 45.358024221572414], [2.695015742798995, 45.35087207460534], [2.728175858119484, 45.349264624143025], [2.730530458428529, 45.34297616303726], [2.751112379234611, 45.33467664189085], [2.757255070947207, 45.325460544169985], [2.765554045564135, 45.321966494279096], [2.747758038831919, 45.31139259246838], [2.743867096488075, 45.305557880535424], [2.73957263129131, 45.30706971842001]]]}",6717,170,6,3,15,83
Saint-Antoine,Commune,211501721.0,15172,165771,0150116,eau potable,1,114.0,114.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,3",100.0,Sans anomalie apparente,1.0,90.5,Sans anomalie apparente,1.0,0.7,Sans anomalie apparente,1.0,0.7,Sans anomalie apparente,1.0,1.0,Sans anomalie apparente,1.0,15220,SAINT-ANTOINE,CANTAL,AUVERGNE,Commune simple,654.0,724.0,0.1,"44.7494339962, 2.33617223491","{""type"": ""Polygon"", ""coordinates"": [[[2.327404176799788, 44.73098099479952], [2.313887384647238, 44.75500907148937], [2.327861030424905, 44.75618411643183], [2.340561724512346, 44.76574998698256], [2.354679147762693, 44.76348319870954], [2.351019285319057, 44.74333034015657], [2.339645245828963, 44.737239912381916], [2.334351626905384, 44.733048703717095], [2.327404176799788, 44.73098099479952]]]}",10232,172,10,1,15,83
Saint-Bonnet-de-Condat,Commune,211501739.0,15173,165772,0150117,eau potable,1,112.0,112.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,4",81.0,Sans anomalie apparente,1.0,69.0,Sans anomalie apparente,1.0,2.6,Sans anomalie apparente,1.0,1.7,Sans anomalie apparente,1.0,2.5,Sans anomalie apparente,1.0,15190,SAINT-BONNET-DE-CONDAT,CANTAL,AUVERGNE,Commune simple,1031.0,1736.0,0.1,"45.2809310303, 2.8038235634","{""type"": ""Polygon"", ""coordinates"": [[[2.841331049681872, 45.26439945583846], [2.833705460181826, 45.26890855441086], [2.824744007665091, 45.267958416587184], [2.807774013809518, 45.27471081295547], [2.793463197571297, 45.27178589419483], [2.785298584143922, 45.25934450987552], [2.775846076338133, 45.25744405077464], [2.77255879038633, 45.26008468902335], [2.768500992448825, 45.27011621958078], [2.77797518682728, 45.286262272255556], [2.769063431872929, 45.29442022573125], [2.771204177951518, 45.30124997042919], [2.785472188587439, 45.30038679969658], [2.79316770356412, 45.29643935042817], [2.807387154777862, 45.2980945314145], [2.821443917673972, 45.295038344130525], [2.849011569689717, 45.27681807873743], [2.85196181502304, 45.27043793858286], [2.841331049681872, 45.26439945583846]]]}",184,173,6,3,15,83
Saint-Clément,Commune,211501804.0,15180,165779,0150003,eau potable,1,71.0,71.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,37",65.0,Sans anomalie apparente,1.0,39.2,Sans anomalie apparente,1.0,2.2,Sans anomalie apparente,1.0,2.1,Sans anomalie apparente,1.0,0.22,Sans anomalie apparente,1.0,15800,SAINT-CLEMENT,CANTAL,AUVERGNE,Commune simple,1093.0,1730.0,0.1,"44.9753617677, 2.6760260238","{""type"": ""Polygon"", ""coordinates"": [[[2.68158939389834, 44.95643462995485], [2.673697573218969, 44.95283728300877], [2.664903030367475, 44.9540716482136], [2.655004505129522, 44.94712653502695], [2.645671295926333, 44.947403310647346], [2.637344423742456, 44.954777517449614], [2.644445197910985, 44.97080910026784], [2.674093340725427, 44.987277772241896], [2.692045184513233, 44.99904284504666], [2.70935899331177, 45.005572152181934], [2.724904758584541, 45.01883828771125], [2.731152749135298, 45.02367961509454], [2.710090845580383, 44.9965882590511], [2.708997667937054, 44.989616472679955], [2.684261450779554, 44.96832716074665], [2.686096396005115, 44.96227284507701], [2.68158939389834, 44.95643462995485]]]}",7663,180,23,1,15,83
Saint-Flour,Commune,211501879.0,15187,165786,0150123,eau potable,1,7143.0,7143.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,04",120.0,Sans anomalie apparente,1.0,69.1,Sans anomalie apparente,1.0,9.2,Sans anomalie apparente,1.0,7.0,Sans anomalie apparente,1.0,2.4,Sans anomalie apparente,1.0,15100,SAINT-FLOUR,CANTAL,AUVERGNE,Sous-préfecture,883.0,2708.0,6.7,"45.0278919825, 3.08320563232","{""type"": ""Polygon"", ""coordinates"": [[[3.086917931276982, 44.984272687039166], [3.075293496871641, 45.01019393310037], [3.06119455338634, 45.01268761931083], [3.052494111605579, 45.02035428666913], [3.023944601214742, 45.024334763897784], [3.03561906960504, 45.0351362257684], [3.045004090758119, 45.03624030032335], [3.058054081947615, 45.032146521970766], [3.062892304457147, 45.032486040046], [3.064419792280599, 45.0357445545019], [3.076779683416429, 45.05731898163707], [3.099743673688094, 45.055148858726604], [3.100746286588692, 45.061693788670205], [3.118690788174084, 45.06443131375682], [3.122078244482548, 45.06223069959016], [3.115055574595516, 45.057493116972346], [3.110456004051448, 45.044163027219746], [3.108734257980196, 45.033927343170994], [3.113600110725335, 45.0288803393487], [3.114213839987113, 45.01852532516911], [3.112112951803931, 45.015394139173495], [3.10255301860933, 45.014638034073734], [3.097237240271738, 45.00900643640095], [3.101807808526948, 44.98875291486623], [3.086917931276982, 44.984272687039166]]]}",7951,187,99,3,15,83
Saint-Georges,Commune,211501887.0,15188,165788,0150124,eau potable,1,1164.0,1164.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,68",111.0,Sans anomalie apparente,1.0,82.9,Sans anomalie apparente,1.0,1.2,Sans anomalie apparente,1.0,1.0,Sans anomalie apparente,1.0,0.09,Sans anomalie apparente,1.0,15100,SAINT-GEORGES,CANTAL,AUVERGNE,Commune simple,855.0,3311.0,1.1,"45.0195024779, 3.13844362927","{""type"": ""Polygon"", ""coordinates"": [[[3.134817166077421, 44.98155985858743], [3.110745657373932, 44.99156254578216], [3.101807808526948, 44.98875291486623], [3.097237240271738, 45.00900643640095], [3.10255301860933, 45.014638034073734], [3.112112951803931, 45.015394139173495], [3.114213839987113, 45.01852532516911], [3.113600110725335, 45.0288803393487], [3.108734257980196, 45.033927343170994], [3.110456004051448, 45.044163027219746], [3.115055574595516, 45.057493116972346], [3.122078244482548, 45.06223069959016], [3.123716216131827, 45.061814713075975], [3.135422297505211, 45.04823223215415], [3.148713359098334, 45.050259161800504], [3.16333982814468, 45.043818907888536], [3.16130814721181, 45.030730261301805], [3.176570675934037, 45.022738712356706], [3.181384165451346, 45.02330721959848], [3.191746453532698, 45.009216896459016], [3.188388459041477, 45.00331614580097], [3.183529244172499, 45.00378345718878], [3.181020456055331, 44.997196805461435], [3.172090876627396, 44.99439279600858], [3.168366866452316, 45.0008181737437], [3.157167129466872, 45.00752435727965], [3.143146019304091, 45.0089928806045], [3.139446816118378, 45.00671061622449], [3.14223363907841, 44.98958194632179], [3.134817166077421, 44.98155985858743]]]}",6019,188,19,3,15,83
Saint-Jacques-des-Blats,Commune,211501929.0,15192,165794,0150127,eau potable,1,338.0,169.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,08",15.0,Sans anomalie apparente,1.0,85.1,Sans anomalie apparente,1.0,1.2,Sans anomalie apparente,1.0,0.5,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,15800,SAINT-JACQUES-DES-BLATS,CANTAL,AUVERGNE,Commune simple,1259.0,3130.0,0.3,"45.0554659628, 2.72104045324","{""type"": ""Polygon"", ""coordinates"": [[[2.724904758584541, 45.01883828771125], [2.7174005087804, 45.026706873580906], [2.68905847098419, 45.02728861725808], [2.689694086012665, 45.04089528279538], [2.680266174033672, 45.05282584132766], [2.671112089055901, 45.05423081992386], [2.678924719200638, 45.06302347146563], [2.693537880233478, 45.06255139821311], [2.697854964449629, 45.07243154630366], [2.71672053026983, 45.08833714049478], [2.730772352594118, 45.08695833625686], [2.7472852012896, 45.08083826588489], [2.7658372811112, 45.06633738699498], [2.760960083906673, 45.05700795560846], [2.739849176987857, 45.03466698427215], [2.731152749135298, 45.02367961509454], [2.724904758584541, 45.01883828771125]]]}",15928,192,23,1,15,83
Saint-Julien-de-Toursac,Commune,211501945.0,15194,165796,0150128,eau potable,1,127.0,127.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,47",10.0,Sans anomalie apparente,1.0,75.2,Sans anomalie apparente,1.0,1.0,Sans anomalie apparente,1.0,1.0,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,15600,SAINT-JULIEN-DE-TOURSAC,CANTAL,AUVERGNE,Commune simple,477.0,972.0,0.1,"44.7745665182, 2.20161181896","{""type"": ""Polygon"", ""coordinates"": [[[2.220764992662185, 44.746578359631556], [2.216253527648181, 44.74212584044097], [2.208318871036451, 44.74400517021602], [2.207411621423791, 44.76088023791864], [2.196444915985857, 44.779294585209406], [2.168506472841262, 44.78193370596598], [2.171632826445397, 44.79025846798528], [2.180455689433356, 44.79823824432832], [2.198385576144218, 44.79745992905259], [2.211939874551258, 44.776821788761715], [2.220570532044948, 44.7742987864255], [2.219542696631393, 44.77094223585603], [2.227231084572252, 44.76239774268109], [2.220764992662185, 44.746578359631556]]]}",6917,194,10,1,15,83
Sainte-Eulalie,Commune,211501861.0,15186,165785,0150122,eau potable,1,209.0,209.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,84",10.0,Sans anomalie apparente,1.0,67.4,Sans anomalie apparente,1.0,2.0,Sans anomalie apparente,1.0,1.8,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,15140,SAINTE-EULALIE,CANTAL,AUVERGNE,Commune simple,738.0,1454.0,0.2,"45.1248339578, 2.38105299616","{""type"": ""Polygon"", ""coordinates"": [[[2.368383104415767, 45.10185464834733], [2.36273281559893, 45.1145905868349], [2.364276011171195, 45.12761964551549], [2.35725878333363, 45.131685413566004], [2.353648142729358, 45.14140727520254], [2.35563826059435, 45.14425516570046], [2.368726073663192, 45.1458066984876], [2.387412122980253, 45.14282236019218], [2.408384647532636, 45.13397623828168], [2.408969887195817, 45.127955460633665], [2.398293873216427, 45.11769651385916], [2.401344666156317, 45.10476479483161], [2.368383104415767, 45.10185464834733]]]}",12563,186,14,2,15,83
Sansac-Veinazès,Commune,211502224.0,15222,165832,0150102,eau potable,1,232.0,232.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,91",100.0,Sans anomalie apparente,1.0,84.4,Sans anomalie apparente,1.0,0.8,Sans anomalie apparente,1.0,0.4,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,15120,SANSAC-VEINAZES,CANTAL,AUVERGNE,Commune simple,663.0,1267.0,0.2,"44.745141044, 2.42655661494","{""type"": ""Polygon"", ""coordinates"": [[[2.428955451565938, 44.72307004996452], [2.410400625435402, 44.731868002713824], [2.410986641149344, 44.744664734723266], [2.402351434981167, 44.752433345566715], [2.405731129592038, 44.75424317865885], [2.401730135811469, 44.76570989202429], [2.404397275470716, 44.76804711911409], [2.42349326202782, 44.7656541635766], [2.450714212972783, 44.74635434425107], [2.451187162878253, 44.73542677551837], [2.449125716262052, 44.72665643725065], [2.435847734981633, 44.72712979486417], [2.428955451565938, 44.72307004996452]]]}",13713,222,11,1,15,83
